English term,French,Swahili,Amharic,Luganda,Decision / status
Ripple Effect,Ripple Effect,Ripple Effect,Ripple Effect,Ripple Effect,Agreed - never translate the organisation name
Microsoft 365 Copilot,Microsoft 365 Copilot,Microsoft 365 Copilot,Microsoft 365 Copilot,Microsoft 365 Copilot,Agreed - product name
Copilot,Copilot,Copilot,Copilot,Copilot,Agreed - product name
AI,IA,AI,AI,AI,Approved for Copilot starter site
prompt,consigne,agizo,መመሪያ,ekiragiro,Approved for Copilot starter site
non-sensitive,non sensible,isiyo na taarifa nyeti,ስሱ ያልሆነ,etaliimu byama oba bikwata ku bantu,Approved for Copilot starter site
personal data,données personnelles,data binafsi,የግል ውሂብ (ዳታ),data y’abantu,Approved; Amharic pairs formal term with familiar transliteration where helpful
confidential information,informations confidentielles,taarifa za siri,ሚስጥራዊ መረጃ,amawulire agekyaama,Approved; confirmed from Ethiopian reviewer screenshot sequence on 14 August 2026
sensitive information,informations sensibles,taarifa nyeti,ስሱ መረጃ,amawulire amakulu,Approved for Copilot starter site
taskbar,barre des tâches,upau wa kazi,የተግባር አሞሌ,taskbar,Approved for Copilot starter site
app launcher,lanceur d’applications,kizindua programu,የመተግበሪያ ማስጀመሪያ,app launcher,Approved for Copilot starter site
Auto,Auto,Auto,Auto,Auto,Agreed - keep English interface label
Think Deeper,Think Deeper,Think Deeper,Think Deeper (በጥልቀት ያስቡ),Think Deeper,Approved; keep English interface label and add Amharic explanation
Edit in Pages,Edit in Pages,Edit in Pages,Edit in Pages,Edit in Pages,Agreed - keep English interface label
Page / Pages,Page / Pages,Page / Pages,Page / Pages,Page / Pages,Agreed - keep Microsoft feature name
check / verify,vérifier,kagua / thibitisha,ያረጋግጡ,kebera / kakasa,Approved for Copilot starter site
reliable source,source fiable,chanzo cha kuaminika,አስተማማኝ ምንጭ,ensibuko eyeesigika,Approved for Copilot starter site
draft,brouillon,rasimu,ረቂቅ,draft,Approved for Copilot starter site
native-country review,relecture par un collègue du pays,ukaguzi wa mhakiki wa nchi,የአገር ውስጥ ተመልካች ማረጋገጫ,okwekebejjebwa omuntu okuva mu Uganda,Completed for all four published language pages
